# time x y
0.000000000000000000e+00	1.440619348747689976e+01	1.612244455331808268e+01
1.000000000000000000e+03	1.082211665161937830e+01	1.575414028108552067e+01
2.000000000000000000e+03	1.056193169752762984e+01	2.122963700855915548e+01
3.000000000000000000e+03	1.145130105756855521e+01	2.131396094970639155e+01
4.000000000000000000e+03	1.348343621495134315e+01	2.217218505707461063e+01
5.000000000000000000e+03	1.294312889192225668e+01	2.185519816982044006e+01
6.000000000000000000e+03	1.271115644276287249e+01	2.007367349867485018e+01
7.000000000000000000e+03	1.273898283760502714e+01	1.972270001007302298e+01
8.000000000000000000e+03	1.418033810462955024e+01	2.040685161710190343e+01
9.000000000000000000e+03	1.574933622693380819e+01	2.025232290498243515e+01
1.000000000000000000e+04	1.701119320637297605e+01	2.017768268502954143e+01
1.100000000000000000e+04	1.775367150765067237e+01	1.991523142867936969e+01
1.200000000000000000e+04	1.813660089937620867e+01	1.937873138525115024e+01
1.300000000000000000e+04	1.811154568128383247e+01	1.955542094644789586e+01
1.400000000000000000e+04	1.789899227336773890e+01	1.953176087997749022e+01
1.500000000000000000e+04	1.890383742533708045e+01	1.870334372782131993e+01
1.600000000000000000e+04	1.917106222323254983e+01	1.836522218171446141e+01
1.700000000000000000e+04	1.953762718576383151e+01	1.777121636223748169e+01
1.800000000000000000e+04	1.988477819572885252e+01	1.747213349006758776e+01
1.900000000000000000e+04	2.007138058809636760e+01	1.696259173070053095e+01
2.000000000000000000e+04	2.041918871285453463e+01	1.597329151508978384e+01
2.100000000000000000e+04	1.987390088356836770e+01	1.719810262780196908e+01
2.200000000000000000e+04	1.995233035877335226e+01	1.719943453876005179e+01
2.300000000000000000e+04	2.005335700171380964e+01	1.672495018721265581e+01
2.400000000000000000e+04	2.020624196086405888e+01	1.587356127391258376e+01
2.500000000000000000e+04	2.034048212468876926e+01	1.622162295531645526e+01
2.600000000000000000e+04	2.046710126838500088e+01	1.559312251291062346e+01
2.700000000000000000e+04	2.027516612493976922e+01	1.528248028860137353e+01
