Set,File,PID,angular_velocity,Band,Radius_range
1,1,95,0.0842997769024309,Outer,12-14
1,1,95,-0.0338697111137475,Outer,12-14
1,1,95,0.039154705337387,Outer,12-14
1,1,95,-0.050800828098561,Outer,12-14
1,1,95,0.0378884407725474,Outer,12-14
1,1,95,0.0123229939751583,Outer,12-14
1,1,95,-0.0146779255313758,Outer,12-14
1,1,95,-0.0266140566951866,Outer,12-14
1,1,95,-0.013111199677426,Outer,12-14
1,1,95,0.1447937554065737,Outer,12-14
1,1,95,0.0578870972751284,Outer,12-14
1,1,95,0.1248165132814005,Outer,12-14
1,1,95,-0.0783541413234027,Outer,12-14
1,1,95,0.2217485348444134,Outer,12-14
1,1,95,0.0999372301123271,Outer,12-14
1,1,95,0.0652212366491356,Outer,12-14
1,1,95,0.000944869797788,Outer,12-14
1,1,95,-0.0846193311644238,Outer,12-14
1,1,95,0.0880201689321347,Outer,12-14
1,1,95,0.0041331701180649,Outer,12-14
1,1,95,-0.0160355533883103,Outer,12-14
1,1,95,0.0398859260391608,Outer,12-14
1,1,95,-0.0178017989282852,Outer,12-14
1,1,95,-0.0444238459490344,Outer,12-14
1,1,95,0.0394438834041603,Outer,12-14
1,1,95,-0.0063301934961321,Outer,12-14
1,1,95,-0.0167524580786491,Outer,12-14
1,1,95,-0.0078525604929571,Outer,12-14
1,1,95,0.0496722726414389,Outer,12-14
1,1,95,-0.1966000770259057,Outer,12-14
1,1,95,-0.0060424867688966,Outer,12-14
1,1,95,0.077809094806204,Outer,12-14
1,1,95,0.1063501723986442,Outer,12-14
1,1,95,0.223600245573857,Outer,12-14
1,1,95,0.169304369780614,Outer,12-14
1,1,95,0.0265163303407987,Outer,12-14
1,1,95,-0.0129746829657899,Outer,12-14
1,1,95,0.0313039403659729,Outer,12-14
1,1,95,-0.0354839544963829,Outer,12-14
1,1,95,-0.0378439369632648,Outer,12-14
1,1,95,0.0230012274327697,Outer,12-14
1,1,95,-0.0030023895536483,Outer,12-14
1,1,95,-0.0263194001768165,Outer,12-14
1,1,95,0.0057114197378393,Outer,12-14
1,1,95,0.0232174328863425,Outer,12-14
1,1,95,0.0081720341872171,Outer,12-14
1,1,95,-0.0108713003920479,Outer,12-14
1,1,95,0.0591481007557526,Outer,12-14
1,1,95,-0.0389000462912667,Outer,12-14
1,1,95,0.0013319908511597,Outer,12-14
1,1,95,-0.0152235817006385,Outer,12-14
1,1,95,-0.0997288106157419,Outer,12-14
1,1,95,0.1002105870395055,Outer,12-14
1,1,95,0.0143527816767803,Outer,12-14
1,1,95,0.1010474056815966,Outer,12-14
1,1,95,-0.0712913330198907,Outer,12-14
1,1,95,0.119076923139676,Outer,12-14
1,1,95,0.1592497785526507,Outer,12-14
1,1,95,0.0736495313861462,Outer,12-14
1,1,95,-0.0377123348672556,Outer,12-14
1,1,95,0.1395922487766361,Outer,12-14
1,1,95,-0.0122823439426849,Outer,12-14
1,1,95,-0.0115677727375111,Outer,12-14
1,1,95,0.047450643999142,Outer,12-14
1,1,95,0.5610880522231896,Outer,12-14
1,1,95,0.2653063604649817,Outer,12-14
1,1,95,0.218155980576935,Outer,12-14
1,1,95,0.2546982964683257,Outer,12-14
1,1,95,0.1759237429084281,Outer,12-14
1,1,95,0.3217657737497497,Outer,12-14
1,1,95,0.2019124393712683,Outer,12-14
1,1,95,0.1749946873195029,Outer,12-14
1,1,95,0.3552301317563606,Outer,12-14
1,1,95,-0.0156176459529984,Outer,12-14
1,1,95,-0.0332572688955465,Outer,12-14
1,1,95,0.0047211443377719,Outer,12-14
1,1,95,-0.0015931964662572,Outer,12-14
1,1,95,0.0391514155464212,Outer,12-14
1,1,95,-0.0210182612052638,Outer,12-14
1,1,95,0.0050740322775553,Outer,12-14
1,1,95,-0.0051350417897393,Outer,12-14
1,1,95,0.0294104108622978,Outer,12-14
1,1,95,-0.0198139118819988,Outer,12-14
1,1,95,0.0179997977100581,Outer,12-14
1,1,95,0.0090184872877667,Outer,12-14
1,1,95,-0.0470660705639414,Outer,12-14
1,1,95,0.1014198880483356,Outer,12-14
1,1,95,0.0711038131868906,Outer,12-14
1,1,95,0.0224930736121891,Outer,12-14
1,1,95,-0.0768280449857887,Outer,12-14
