Set,File,PID,angular_velocity,Band,Radius_range
1,1,79,-0.0912018506732215,Outer,12-14
1,1,79,0.3850645638895367,Outer,12-14
1,1,79,0.1729480918175472,Outer,12-14
1,1,79,0.4356647723245914,Outer,12-14
1,1,79,0.2790362472147385,Outer,12-14
1,1,79,0.0759990154048129,Outer,12-14
1,1,79,0.232357766808843,Outer,12-14
1,1,79,0.0028239945060786,Outer,12-14
1,1,79,-0.018482980720007,Outer,12-14
1,1,79,-0.004770814019583,Outer,12-14
1,1,79,-0.0130351697994206,Outer,12-14
1,1,79,0.0491840653558046,Outer,12-14
1,1,79,0.0015921903309941,Outer,12-14
1,1,79,-0.0163934452261695,Outer,12-14
1,1,79,-0.004927352260434,Outer,12-14
1,1,79,0.0223243130980836,Outer,12-14
1,1,79,-0.0091936321943917,Outer,12-14
1,1,79,0.0124692304240436,Outer,12-14
1,1,79,0.0169621443471381,Outer,12-14
1,1,79,-0.0408306536786762,Outer,12-14
1,1,79,0.1175511534446425,Outer,12-14
1,1,79,0.0520624047441509,Outer,12-14
1,1,79,0.0155096421666898,Outer,12-14
1,1,79,-0.0630061669428956,Outer,12-14
1,1,79,0.0174723026416088,Outer,12-14
1,1,79,0.0084960585157909,Outer,12-14
1,1,79,0.0394649349806699,Outer,12-14
1,1,79,-0.0083857026653011,Outer,12-14
1,1,79,-0.0222044273358439,Outer,12-14
1,1,79,-0.1302070249355269,Outer,12-14
1,1,79,0.2823235102505861,Outer,12-14
1,1,79,0.1817659000189437,Outer,12-14
1,1,79,0.0980921490514958,Outer,12-14
1,1,79,0.2147280582405444,Outer,12-14
1,1,79,-0.0680271934589944,Outer,12-14
1,1,79,0.01796062219764,Outer,12-14
1,1,79,0.0979282542713644,Outer,12-14
1,1,79,-0.1453283516941814,Outer,12-14
1,1,79,0.0442791755678566,Outer,12-14
1,1,79,0.0388383668572651,Outer,12-14
1,1,79,0.070740311595502,Outer,12-14
1,1,79,0.0503376315959664,Outer,12-14
1,1,79,0.0223283118719042,Outer,12-14
1,1,79,0.1301705111673299,Outer,12-14
1,1,79,0.1571880995108543,Outer,12-14
1,1,79,0.0120698509166556,Outer,12-14
1,1,79,0.1718981068794463,Outer,12-14
1,1,79,-0.0605513751977175,Outer,12-14
1,1,79,0.0294551620386789,Outer,12-14
1,1,79,0.0010613784442248,Outer,12-14
1,1,79,0.1418659988099437,Outer,12-14
1,1,79,0.4762091599924578,Outer,12-14
1,1,79,0.112637527559757,Outer,12-14
1,1,79,0.2131985648701926,Outer,12-14
1,1,79,0.1840128689693339,Outer,12-14
1,1,79,-0.0109205212922556,Outer,12-14
1,1,79,0.3181978946335499,Outer,12-14
1,1,79,0.253986326870423,Outer,12-14
1,1,79,0.1842536123841691,Outer,12-14
1,1,79,0.413123313724876,Outer,12-14
1,1,79,0.1205866305631833,Outer,12-14
1,1,79,0.0217124223409101,Outer,12-14
1,1,79,0.1001799339533078,Outer,12-14
1,1,79,-0.0101853636567188,Outer,12-14
1,1,79,0.0181162011454008,Outer,12-14
1,1,79,0.1345507688847114,Outer,12-14
1,1,79,-0.0956514184087931,Outer,12-14
1,1,79,0.0442795002092073,Outer,12-14
1,1,79,0.1019804445581145,Outer,12-14
1,1,79,0.1434827779389449,Outer,12-14
1,1,79,0.0132901773323035,Outer,12-14
1,1,79,0.1021989916381591,Outer,12-14
1,1,79,0.0153906788859572,Outer,12-14
1,1,79,0.0763554843722844,Outer,12-14
1,1,79,-0.0331897815937813,Outer,12-14
1,1,79,0.2084896234320541,Outer,12-14
1,1,79,-0.0395697519562974,Outer,12-14
1,1,79,0.4958532407509115,Outer,12-14
1,1,79,-0.1517976022222091,Outer,12-14
1,1,79,0.1440824946081362,Outer,12-14
1,1,79,0.071047007644112,Outer,12-14
1,1,79,0.199980559206502,Outer,12-14
1,1,79,-0.0051858901978194,Outer,12-14
1,1,79,-0.277189489410433,Outer,12-14
1,1,79,0.0543408158641831,Outer,12-14
1,1,79,-0.0855242305707291,Outer,12-14
1,1,79,0.0853346995444335,Outer,12-14
1,1,79,0.0778279094448946,Outer,12-14
1,1,79,-0.0220761761604908,Outer,12-14
1,1,79,-0.0045070825532551,Outer,12-14
1,1,79,0.0425380278094538,Outer,12-14
1,1,79,0.1224769642165211,Outer,12-14
1,1,79,-0.0158793611461853,Outer,12-14
1,1,79,0.0184310507846285,Outer,12-14
1,1,79,0.0105805073615532,Outer,12-14
1,1,79,0.000167336925867,Outer,12-14
1,1,79,0.0023255218031126,Outer,12-14
1,1,79,0.1339571776591683,Outer,12-14
1,1,79,-0.1588183393461149,Outer,12-14
1,1,79,0.0035347421323947,Outer,12-14
