Set,File,PID,angular_velocity,Band,Radius_range
1,1,55,0.1571395056447087,Outer,12-14
1,1,55,0.0090450194146214,Outer,12-14
1,1,55,0.0891368887138921,Outer,12-14
1,1,55,0.2576655901855802,Outer,12-14
1,1,55,0.185117947947734,Outer,12-14
1,1,55,0.2059252176668446,Outer,12-14
1,1,55,0.0322697886504093,Outer,12-14
1,1,55,-0.0161216009773443,Outer,12-14
1,1,55,0.0303987092965964,Outer,12-14
1,1,55,-0.130054341421749,Outer,12-14
1,1,55,-0.0161114135176254,Outer,12-14
1,1,55,0.012325139049949,Outer,12-14
1,1,55,-0.0046276281477708,Outer,12-14
1,1,55,-0.0128434560266867,Outer,12-14
1,1,55,0.0009649362453951,Outer,12-14
1,1,55,0.019386348222159,Outer,12-14
1,1,55,0.0087369295341046,Outer,12-14
1,1,55,0.0643736747530274,Outer,12-14
1,1,55,0.0676080882486678,Outer,12-14
1,1,55,-0.0479631886996436,Outer,12-14
1,1,55,0.0289102497129789,Outer,12-14
1,1,55,-0.034948428135884,Outer,12-14
1,1,55,-0.1013806204992593,Outer,12-14
1,1,55,0.296605034836066,Outer,12-14
1,1,55,0.0819156483845575,Outer,12-14
1,1,55,0.1661386542740532,Outer,12-14
1,1,55,0.0799015619138234,Outer,12-14
1,1,55,0.0811139451508151,Outer,12-14
1,1,55,0.081020763538381,Outer,12-14
1,1,55,0.283250395641164,Outer,12-14
1,1,55,-0.0476156270507956,Outer,12-14
1,1,55,-0.1121673443075437,Outer,12-14
1,1,55,0.1680556972362561,Outer,12-14
1,1,55,0.5896877137767085,Outer,12-14
1,1,55,0.2579101162243074,Outer,12-14
1,1,55,0.1984987820533756,Outer,12-14
1,1,55,0.2518793744894765,Outer,12-14
1,1,55,0.1853357926366872,Outer,12-14
1,1,55,0.3081005128619605,Outer,12-14
1,1,55,0.2340147680606059,Outer,12-14
1,1,55,0.1227579319862131,Outer,12-14
1,1,55,0.21864911420219,Outer,12-14
1,1,55,0.007110451224197,Outer,12-14
1,1,55,-0.0175554487818061,Outer,12-14
1,1,55,-0.0115861255895435,Outer,12-14
1,1,55,-0.0054398623786031,Outer,12-14
1,1,55,0.0372389331000948,Outer,12-14
1,1,55,-0.0056294529843139,Outer,12-14
1,1,55,-0.0100625669488145,Outer,12-14
1,1,55,-0.0022900922795172,Outer,12-14
1,1,55,0.017726103028699,Outer,12-14
1,1,55,-0.0002308671782889,Outer,12-14
1,1,55,0.011429136755543,Outer,12-14
1,1,55,0.0044638183092464,Outer,12-14
1,1,55,-0.0320251785616658,Outer,12-14
1,1,55,0.0934126922025453,Outer,12-14
1,1,55,0.0716084784315396,Outer,12-14
1,1,55,0.02338727916554,Outer,12-14
1,1,55,-0.0575913214480334,Outer,12-14
1,1,55,0.0105811669610704,Outer,12-14
1,1,55,0.0011322487468441,Outer,12-14
1,1,55,0.0497306498059186,Outer,12-14
1,1,55,-0.0148029274771932,Outer,12-14
1,1,55,-0.0171637028977098,Outer,12-14
1,1,55,-0.1173440746126086,Outer,12-14
1,1,55,0.2821136731478271,Outer,12-14
1,1,55,0.1909161836593988,Outer,12-14
1,1,55,0.0861203224386852,Outer,12-14
1,1,55,0.2079870549238656,Outer,12-14
1,1,55,-0.0477754727432131,Outer,12-14
1,1,55,-0.0014218305732462,Outer,12-14
1,1,55,0.0586479721191741,Outer,12-14
1,1,55,-0.1236830254047003,Outer,12-14
1,1,55,0.0434061001878562,Outer,12-14
1,1,55,0.0741921881289409,Outer,12-14
1,1,55,0.0567634656903095,Outer,12-14
1,1,55,0.0590224196974897,Outer,12-14
1,1,55,0.0190608304668762,Outer,12-14
1,1,55,0.1328483659872219,Outer,12-14
1,1,55,0.1377896243826182,Outer,12-14
1,1,55,0.0320677904085822,Outer,12-14
1,1,55,0.1647155676558256,Outer,12-14
1,1,55,-0.0654054756665969,Outer,12-14
1,1,55,0.0211399285834481,Outer,12-14
1,1,55,0.0068615658670188,Outer,12-14
1,1,55,0.132672550652432,Outer,12-14
1,1,55,0.4949992045881508,Outer,12-14
1,1,55,0.0731907613447653,Outer,12-14
1,1,55,0.2518398260345726,Outer,12-14
1,1,55,0.3966057372147924,Outer,12-14
1,1,55,0.2884182669602499,Outer,12-14
1,1,55,0.3172938368211619,Outer,12-14
1,1,55,0.1522185897432297,Outer,12-14
1,1,55,0.097759659320618,Outer,12-14
1,1,55,0.0498014917264488,Outer,12-14
1,1,55,-0.0296694982772169,Outer,12-14
1,1,55,-0.0160888590528704,Outer,12-14
1,1,55,0.0226354584235886,Outer,12-14
1,1,55,0.0098217270693532,Outer,12-14
1,1,55,0.0319441457596099,Outer,12-14
1,1,55,0.0225691234539802,Outer,12-14
1,1,55,0.103760584338008,Outer,12-14
1,1,55,-0.0046589291669816,Outer,12-14
1,1,55,0.0076721933387524,Outer,12-14
1,1,55,-0.0725537721505054,Outer,12-14
1,1,55,-0.2567533845508807,Outer,12-14
1,1,55,0.0098460193304159,Outer,12-14
1,1,55,-0.0036948019902771,Outer,12-14
1,1,55,-0.0026737738825577,Outer,12-14
1,1,55,-0.0103100188702587,Outer,12-14
1,1,55,0.0039158106239045,Outer,12-14
1,1,55,0.0077254276749014,Outer,12-14
1,1,55,-0.0695715018418408,Outer,12-14
1,1,55,0.0553306275988401,Outer,12-14
1,1,55,0.0803974612328799,Outer,12-14
1,1,55,0.1143829358431389,Outer,12-14
1,1,55,-0.1515587773888951,Outer,12-14
1,1,55,-0.0052218276761317,Outer,12-14
1,1,55,0.2399421732033917,Outer,12-14
1,1,55,0.2428362002344903,Outer,12-14
1,1,55,-0.0559067078133068,Outer,12-14
1,1,55,0.046828349842098,Outer,12-14
1,1,55,0.1450026173099274,Outer,12-14
1,1,55,0.3384142108207708,Outer,12-14
1,1,55,0.2838099620661847,Outer,12-14
1,1,55,0.1727930925324754,Outer,12-14
1,1,55,0.0486722935890844,Outer,12-14
1,1,55,0.0550566653340243,Outer,12-14
1,1,55,0.0258784995861187,Outer,12-14
1,1,55,-0.0491342941836121,Outer,12-14
1,1,55,-0.0185102676745319,Outer,12-14
1,1,55,-0.0290456410406902,Outer,12-14
1,1,55,0.0283240649501128,Outer,12-14
1,1,55,-0.0052112289262771,Outer,12-14
1,1,55,0.0242111477894555,Outer,12-14
1,1,55,-0.0301922503813671,Outer,12-14
1,1,55,0.0086898046126697,Outer,12-14
1,1,55,0.012661693739524,Outer,12-14
1,1,55,-0.0223825855985704,Outer,12-14
1,1,55,0.0157462368448886,Outer,12-14
1,1,55,-0.056785660997817,Outer,12-14
1,1,55,0.1639180623404428,Outer,12-14
1,1,55,0.0697055037761398,Outer,12-14
1,1,55,0.4646461652924638,Outer,12-14
1,1,55,0.2259227868899809,Outer,12-14
1,1,55,0.5235449395214058,Outer,12-14
1,1,55,0.0588290617617035,Outer,12-14
1,1,55,0.1080857742105303,Outer,12-14
1,1,55,0.0461838261666658,Outer,12-14
1,1,55,0.1184596720342545,Outer,12-14
1,1,55,-0.0590090089248827,Outer,12-14
1,1,55,0.0238256814911208,Outer,12-14
1,1,55,-0.0206950798265697,Outer,12-14
1,1,55,-0.0089071461491583,Outer,12-14
1,1,55,0.1456444531251959,Outer,12-14
1,1,55,0.013466348089584,Outer,12-14
1,1,55,0.0920237880563572,Outer,12-14
1,1,55,0.3043511521379956,Outer,12-14
1,1,55,0.0490653672830658,Outer,12-14
1,1,55,0.3916951752507773,Outer,12-14
1,1,55,0.2419802812663798,Outer,12-14
1,1,55,5.833025020418603e-05,Outer,12-14
1,1,55,0.2082506438859499,Outer,12-14
1,1,55,0.417234838627694,Outer,12-14
1,1,55,0.1728083594218823,Outer,12-14
1,1,55,1.0891461925662078,Outer,12-14
1,1,55,-0.0042385433131642,Outer,12-14
1,1,55,0.0178686278807145,Outer,12-14
1,1,55,-0.0057957772798413,Outer,12-14
1,1,55,-0.0023903471151203,Outer,12-14
1,1,55,0.0306129459386541,Outer,12-14
1,1,55,-0.0075614335925964,Outer,12-14
1,1,55,-0.0112000158444982,Outer,12-14
1,1,55,-0.0005843115232133,Outer,12-14
1,1,55,-0.0024580342762008,Outer,12-14
1,1,55,-0.0009913913426693,Outer,12-14
1,1,55,-0.0139893442008358,Outer,12-14
1,1,55,0.0198037456962967,Outer,12-14
1,1,55,0.0003474531366807,Outer,12-14
1,1,55,0.0067421499989595,Outer,12-14
1,1,55,-0.0033507205364968,Outer,12-14
1,1,55,0.0764769129763167,Outer,12-14
1,1,55,0.0655412570599933,Outer,12-14
1,1,55,0.0120863257498213,Outer,12-14
1,1,55,0.0211206351842392,Outer,12-14
1,1,55,-0.0513900429457034,Outer,12-14
1,1,55,0.1840149703430569,Outer,12-14
1,1,55,-0.048093833455467,Outer,12-14
1,1,55,0.0209627726312233,Outer,12-14
1,1,55,-0.0009844144559001,Outer,12-14
1,1,55,0.0366142638784778,Outer,12-14
1,1,55,-0.0349780830945909,Outer,12-14
1,1,55,0.0338364205887327,Outer,12-14
1,1,55,-0.0386142101731623,Outer,12-14
1,1,55,0.1723352287456077,Outer,12-14
1,1,55,0.3661842203841323,Outer,12-14
1,1,55,0.2595450579957301,Outer,12-14
1,1,55,0.0030297688117251,Outer,12-14
1,1,55,-0.0506178527331666,Outer,12-14
1,1,55,0.0379145000296947,Outer,12-14
1,1,55,-0.0046673183389871,Outer,12-14
1,1,55,-0.010720584725905,Outer,12-14
1,1,55,-0.1226378664862384,Outer,12-14
1,1,55,0.1237762843591614,Outer,12-14
1,1,55,-0.1148860307180665,Outer,12-14
1,1,55,0.1129084995459308,Outer,12-14
1,1,55,-0.1513806021703763,Outer,12-14
1,1,55,0.5200277165901586,Outer,12-14
1,1,55,0.1751330133049453,Outer,12-14
1,1,55,0.0260382756744457,Outer,12-14
1,1,55,0.3153320469082974,Outer,12-14
1,1,55,0.3407949748554957,Outer,12-14
1,1,55,-0.0440109798068562,Outer,12-14
1,1,55,-0.1650004148822161,Outer,12-14
1,1,55,0.0667561500785787,Outer,12-14
1,1,55,0.0973613740275656,Outer,12-14
1,1,55,0.3727583289610661,Outer,12-14
1,1,55,0.0518373973525312,Outer,12-14
1,1,55,-0.0880035984614471,Outer,12-14
1,1,55,0.048074442672549,Outer,12-14
1,1,55,0.1399324849826051,Outer,12-14
1,1,55,0.0672830751142918,Outer,12-14
1,1,55,-0.0741078743335363,Outer,12-14
1,1,55,0.1444031642109777,Outer,12-14
1,1,55,0.1142480293015002,Outer,12-14
1,1,55,-0.1178799892093644,Outer,12-14
1,1,55,-0.1164630554387793,Outer,12-14
1,1,55,0.1362077581347911,Outer,12-14
1,1,55,-0.0209368989184564,Outer,12-14
1,1,55,0.089001273103674,Outer,12-14
1,1,55,-0.0894129937972394,Outer,12-14
1,1,55,-0.1476069354290108,Outer,12-14
1,1,55,-0.0219611030741178,Outer,12-14
1,1,55,0.0188658034387145,Outer,12-14
1,1,55,-0.0342385624057861,Outer,12-14
1,1,55,0.1507904866268843,Outer,12-14
1,1,55,0.0369677292778769,Outer,12-14
1,1,55,-0.0160922919215344,Outer,12-14
1,1,55,0.013841569966603,Outer,12-14
1,1,55,-0.0277672962779771,Outer,12-14
1,1,55,-0.00028826029558,Outer,12-14
1,1,55,-0.0005699218319414,Outer,12-14
1,1,55,-0.0283496382614156,Outer,12-14
1,1,55,0.1217471932160187,Outer,12-14
1,1,55,0.0516774500679226,Outer,12-14
1,1,55,-0.0112476091209789,Outer,12-14
1,1,55,0.0292642346902534,Outer,12-14
1,1,55,0.049383730665772,Outer,12-14
1,1,55,-0.055397799610366,Outer,12-14
1,1,55,-0.0002956138752558,Outer,12-14
1,1,55,-0.0012635959350926,Outer,12-14
1,1,55,-0.0047939206476197,Outer,12-14
1,1,55,0.017859094680511,Outer,12-14
1,1,55,-0.0010349781947858,Outer,12-14
1,1,55,0.0051189059749896,Outer,12-14
1,1,55,0.1088900358741549,Outer,12-14
1,1,55,0.0308092991759467,Outer,12-14
1,1,55,0.1890439798854788,Outer,12-14
1,1,55,0.0652293695893764,Outer,12-14
1,1,55,0.0841709585155143,Outer,12-14
1,1,55,0.0648062442582819,Outer,12-14
1,1,55,0.0702056921452802,Outer,12-14
1,1,55,0.1861352043069635,Outer,12-14
1,1,55,0.100697508971344,Outer,12-14
1,1,55,0.1623649408274743,Outer,12-14
1,1,55,0.0237345875936036,Outer,12-14
1,1,55,-0.0512655846770195,Outer,12-14
1,1,55,-0.0040555385479676,Outer,12-14
1,1,55,-0.0034894549754929,Outer,12-14
1,1,55,5.214300914113679e-05,Outer,12-14
1,1,55,0.0060960297032894,Outer,12-14
