Set,File,PID,angular_velocity,Band,Radius_range
1,1,22,-0.0185152830304566,Outer,12-14
1,1,22,0.0147901789085826,Outer,12-14
1,1,22,-0.0183482444429787,Outer,12-14
1,1,22,0.0468950989584082,Outer,12-14
1,1,22,0.0877470727424465,Outer,12-14
1,1,22,0.1325042895205559,Outer,12-14
1,1,22,0.0598879094229913,Outer,12-14
1,1,22,0.0211991661276162,Outer,12-14
1,1,22,0.4346573093973336,Outer,12-14
1,1,22,0.0479451297250137,Outer,12-14
1,1,22,0.3396791974194606,Outer,12-14
1,1,22,-0.0510351100293391,Outer,12-14
1,1,22,0.0996275879372134,Outer,12-14
1,1,22,0.300105079420812,Outer,12-14
1,1,22,-0.0063929313683432,Outer,12-14
1,1,22,0.014384297008597,Outer,12-14
1,1,22,-0.0074299828791164,Outer,12-14
1,1,22,0.1346395635268837,Outer,12-14
1,1,22,0.3291992777030925,Outer,12-14
1,1,22,0.0755680110324887,Outer,12-14
1,1,22,0.241902469592234,Outer,12-14
1,1,22,0.1901664715716933,Outer,12-14
1,1,22,-0.0192378543789359,Outer,12-14
1,1,22,0.1392485496233493,Outer,12-14
1,1,22,-0.0078674798871829,Outer,12-14
1,1,22,0.1428016032045889,Outer,12-14
1,1,22,0.0170152958144744,Outer,12-14
1,1,22,0.0085430797085912,Outer,12-14
1,1,22,-0.0100330725603154,Outer,12-14
1,1,22,-0.0912153010834879,Outer,12-14
1,1,22,0.2713907460966469,Outer,12-14
1,1,22,0.1270127699045629,Outer,12-14
1,1,22,-0.0048736814898866,Outer,12-14
1,1,22,-0.0529939746488632,Outer,12-14
1,1,22,0.0991906394501991,Outer,12-14
1,1,22,0.0854922254200656,Outer,12-14
1,1,22,0.0115365644558269,Outer,12-14
1,1,22,0.0263941244986112,Outer,12-14
1,1,22,-0.0025692620864026,Outer,12-14
1,1,22,0.1187499386459673,Outer,12-14
1,1,22,0.0228607526202417,Outer,12-14
1,1,22,-0.0296037826787505,Outer,12-14
1,1,22,0.0169165500038022,Outer,12-14
1,1,22,0.0368424280533115,Outer,12-14
1,1,22,-0.0267458075317841,Outer,12-14
1,1,22,-0.0059880513922396,Outer,12-14
1,1,22,-0.0148532539599308,Outer,12-14
1,1,22,0.3379987996060509,Outer,12-14
1,1,22,0.3927499750025252,Outer,12-14
1,1,22,0.7812584567300198,Outer,12-14
1,1,22,0.2736368447429926,Outer,12-14
1,1,22,0.2146317273595865,Outer,12-14
1,1,22,0.1612484354721184,Outer,12-14
1,1,22,0.0116277646142117,Outer,12-14
1,1,22,0.0240462433896961,Outer,12-14
1,1,22,-0.0059001470998074,Outer,12-14
1,1,22,-0.0182320219086276,Outer,12-14
1,1,22,-0.33855054455538,Outer,12-14
1,1,22,-0.0649723411398213,Outer,12-14
1,1,22,-0.03065034259492,Outer,12-14
1,1,22,0.0744265475475485,Outer,12-14
1,1,22,0.0565276653711999,Outer,12-14
1,1,22,0.017557122828065,Outer,12-14
1,1,22,-0.0046818435111055,Outer,12-14
1,1,22,-0.0170851218957714,Outer,12-14
1,1,22,0.0231727826687491,Outer,12-14
1,1,22,0.0125494248910529,Outer,12-14
1,1,22,0.2178741839008084,Outer,12-14
1,1,22,0.2622724576966848,Outer,12-14
1,1,22,-0.054498311513015,Outer,12-14
1,1,22,-0.0534723793957825,Outer,12-14
1,1,22,0.3271209959307697,Outer,12-14
1,1,22,-0.1229749890254328,Outer,12-14
1,1,22,0.0104127762306203,Outer,12-14
1,1,22,0.0170135127489219,Outer,12-14
1,1,22,0.0667700491073128,Outer,12-14
1,1,22,0.0887905450447581,Outer,12-14
1,1,22,0.1241829328718777,Outer,12-14
1,1,22,0.0746235654128608,Outer,12-14
1,1,22,0.0659587686510714,Outer,12-14
1,1,22,-0.0035258959964599,Outer,12-14
1,1,22,0.0138972884876564,Outer,12-14
1,1,22,-0.0247454284790049,Outer,12-14
1,1,22,0.0161902700985283,Outer,12-14
1,1,22,-0.0071081729760367,Outer,12-14
1,1,22,0.00405219033737,Outer,12-14
1,1,22,0.0126425846887014,Outer,12-14
1,1,22,-0.0013679349368476,Outer,12-14
1,1,22,0.0002518483176623,Outer,12-14
1,1,22,-0.0044660850213129,Outer,12-14
1,1,22,-0.0238961203611065,Outer,12-14
1,1,22,0.0136289234264279,Outer,12-14
1,1,22,0.006463749828339,Outer,12-14
1,1,22,-0.0056623123057866,Outer,12-14
1,1,22,0.0948190607891628,Outer,12-14
1,1,22,0.0845079532920971,Outer,12-14
1,1,22,-0.0458522424575598,Outer,12-14
1,1,22,0.0461700499322241,Outer,12-14
1,1,22,-0.0316041301607916,Outer,12-14
1,1,22,0.0029790347834337,Outer,12-14
1,1,22,0.0029218125174708,Outer,12-14
1,1,22,0.0092125142861214,Outer,12-14
1,1,22,0.0078728499463793,Outer,12-14
1,1,22,0.052249895359699,Outer,12-14
1,1,22,0.105985659445194,Outer,12-14
1,1,22,-0.0248084125323391,Outer,12-14
1,1,22,0.0383241714104265,Outer,12-14
1,1,22,0.1766815192931581,Outer,12-14
1,1,22,0.0629453897531049,Outer,12-14
1,1,22,-0.097690778404218,Outer,12-14
1,1,22,-0.0467083071080511,Outer,12-14
1,1,22,0.0102011457183177,Outer,12-14
1,1,22,0.0018158702354238,Outer,12-14
1,1,22,0.0753182215630814,Outer,12-14
1,1,22,-0.0298148374087894,Outer,12-14
1,1,22,0.1115393127466854,Outer,12-14
1,1,22,0.0180363356329595,Outer,12-14
1,1,22,0.2251797482815476,Outer,12-14
1,1,22,0.3096372154490758,Outer,12-14
1,1,22,0.2641254088108185,Outer,12-14
1,1,22,0.4646877776503011,Outer,12-14
1,1,22,0.0121097988369163,Outer,12-14
1,1,22,0.0574951320828924,Outer,12-14
1,1,22,0.0209013931491348,Outer,12-14
1,1,22,0.0092129021204305,Outer,12-14
1,1,22,-0.030152439253964,Outer,12-14
1,1,22,0.1014135215796612,Outer,12-14
1,1,22,0.1800222472777743,Outer,12-14
1,1,22,-0.1750624787626802,Outer,12-14
1,1,22,0.3393486139133035,Outer,12-14
1,1,22,0.4767455527518853,Outer,12-14
1,1,22,0.035956566545833,Outer,12-14
1,1,22,0.1783519912772111,Outer,12-14
1,1,22,-0.0382781864678976,Outer,12-14
1,1,22,-0.0430611924124155,Outer,12-14
1,1,22,0.008534474403643,Outer,12-14
1,1,22,0.0193691919494138,Outer,12-14
1,1,22,0.4936336794199225,Outer,12-14
1,1,22,-0.1666452404091765,Outer,12-14
1,1,22,0.0259783035461245,Outer,12-14
1,1,22,0.3722917691312783,Outer,12-14
1,1,22,0.0185550598478796,Outer,12-14
1,1,22,0.0407348411707504,Outer,12-14
1,1,22,0.1103341396123589,Outer,12-14
1,1,22,0.0676952405167492,Outer,12-14
1,1,22,-0.704970884203973,Outer,12-14
1,1,22,0.6881732995393399,Outer,12-14
1,1,22,-0.1397549002911216,Outer,12-14
1,1,22,-0.1486677974988826,Outer,12-14
1,1,22,0.0068597861443313,Outer,12-14
1,1,22,0.0057795406767811,Outer,12-14
1,1,22,-0.0056113367678163,Outer,12-14
1,1,22,-0.0254103226509387,Outer,12-14
1,1,22,0.026000689165115,Outer,12-14
1,1,22,0.003343874641593,Outer,12-14
1,1,22,0.007442539756409,Outer,12-14
1,1,22,-0.0587036999609424,Outer,12-14
1,1,22,0.0502234554667744,Outer,12-14
1,1,22,-0.0087669933314753,Outer,12-14
1,1,22,0.0147061445985867,Outer,12-14
1,1,22,0.0033439648674282,Outer,12-14
1,1,22,-0.0279129904874309,Outer,12-14
1,1,22,0.0151320931873817,Outer,12-14
1,1,22,-0.0234898791232778,Outer,12-14
1,1,22,-0.1230377275306859,Outer,12-14
1,1,22,-0.0155378384620341,Outer,12-14
1,1,22,0.1591076368518784,Outer,12-14
1,1,22,0.0235405181042533,Outer,12-14
1,1,22,-0.0194914438618685,Outer,12-14
1,1,22,0.0071147097077055,Outer,12-14
1,1,22,-0.119690740222965,Outer,12-14
1,1,22,0.1150928565901545,Outer,12-14
1,1,22,0.0054752189713442,Outer,12-14
1,1,22,-0.0318683252524927,Outer,12-14
1,1,22,0.1664357317238685,Outer,12-14
1,1,22,0.1061629247410396,Outer,12-14
1,1,22,0.0543472599452501,Outer,12-14
1,1,22,-0.0219688318778001,Outer,12-14
1,1,22,0.0100648270711705,Outer,12-14
1,1,22,-0.014092819810819,Outer,12-14
1,1,22,0.0125862664339351,Outer,12-14
1,1,22,-0.0199441807293032,Outer,12-14
1,1,22,0.0050005184485848,Outer,12-14
1,1,22,0.0012833378070715,Outer,12-14
1,1,22,-0.0226503437966854,Outer,12-14
1,1,22,0.0079816705497566,Outer,12-14
1,1,22,-0.0505269087558617,Outer,12-14
1,1,22,0.1268964366302576,Outer,12-14
1,1,22,0.0531912205537499,Outer,12-14
1,1,22,-0.0029863133129621,Outer,12-14
1,1,22,0.0335689790105906,Outer,12-14
1,1,22,0.0308003698388579,Outer,12-14
1,1,22,-0.0329134444803314,Outer,12-14
1,1,22,-0.0067167684498041,Outer,12-14
1,1,22,-0.0170463190508338,Outer,12-14
1,1,22,0.0218193260768737,Outer,12-14
1,1,22,0.0121246171265338,Outer,12-14
1,1,22,0.0026511367216328,Outer,12-14
1,1,22,0.2729122777587789,Outer,12-14
1,1,22,-0.1573004825775212,Outer,12-14
1,1,22,0.0409190408297246,Outer,12-14
1,1,22,0.2949321296998786,Outer,12-14
1,1,22,0.1940717407116232,Outer,12-14
1,1,22,-0.0194485172217229,Outer,12-14
1,1,22,0.2115150973888924,Outer,12-14
1,1,22,0.1316365626206157,Outer,12-14
1,1,22,0.0381336597359389,Outer,12-14
1,1,22,-0.0228771110452479,Outer,12-14
1,1,22,-0.0121531053690233,Outer,12-14
1,1,22,-0.0046126680977449,Outer,12-14
1,1,22,-0.0132950700149581,Outer,12-14
1,1,22,0.0256251995551992,Outer,12-14
1,1,22,-0.0073788509724814,Outer,12-14
1,1,22,0.0221046807627294,Outer,12-14
1,1,22,-0.0222295098969684,Outer,12-14
1,1,22,0.0108661929593951,Outer,12-14
1,1,22,-0.0331756177503521,Outer,12-14
1,1,22,0.3257855008892223,Outer,12-14
1,1,22,0.2580037524315144,Outer,12-14
1,1,22,0.6701120585103313,Outer,12-14
1,1,22,0.3792060225459286,Outer,12-14
1,1,22,0.2643793339521894,Outer,12-14
1,1,22,0.1907229793565621,Outer,12-14
1,1,22,-0.0564636699218241,Outer,12-14
1,1,22,0.2190263006784545,Outer,12-14
1,1,22,-0.1601432237120907,Outer,12-14
1,1,22,0.0394901615267953,Outer,12-14
1,1,22,-0.0246381533076931,Outer,12-14
1,1,22,0.0149464930702292,Outer,12-14
1,1,22,-0.0060460804340953,Outer,12-14
1,1,22,-0.028554779954578,Outer,12-14
1,1,22,0.0660687772343431,Outer,12-14
1,1,22,-0.0284955838671878,Outer,12-14
1,1,22,0.0179683305116267,Outer,12-14
1,1,22,0.0135362022742029,Outer,12-14
1,1,22,-0.0304289262787706,Outer,12-14
1,1,22,0.0106756359228477,Outer,12-14
1,1,22,-0.0132343205520815,Outer,12-14
1,1,22,0.0161696885119182,Outer,12-14
1,1,22,0.165559569254805,Outer,12-14
1,1,22,-0.0290812458046505,Outer,12-14
1,1,22,0.0084735145000021,Outer,12-14
1,1,22,-0.0080908305523168,Outer,12-14
1,1,22,-0.0198638368674348,Outer,12-14
1,1,22,0.110709838146958,Outer,12-14
1,1,22,0.0613566286774429,Outer,12-14
1,1,22,-0.0405804787561221,Outer,12-14
1,1,22,0.0412702734569627,Outer,12-14
1,1,22,-0.0048927737087147,Outer,12-14
1,1,22,-0.021789271815245,Outer,12-14
1,1,22,0.0114798761893823,Outer,12-14
1,1,22,0.0234955654649797,Outer,12-14
1,1,22,-0.0196298477951586,Outer,12-14
1,1,22,-0.0620813474916608,Outer,12-14
1,1,22,-0.0128856344124432,Outer,12-14
1,1,22,0.3333388845309932,Outer,12-14
1,1,22,-0.2948390661916793,Outer,12-14
1,1,22,-0.1462970795941123,Outer,12-14
1,1,22,0.0213057250591788,Outer,12-14
1,1,22,-0.0405721081823529,Outer,12-14
1,1,22,0.1309850587828043,Outer,12-14
1,1,22,0.2835115271892237,Outer,12-14
1,1,22,0.2101660283966677,Outer,12-14
1,1,22,0.2213949352672988,Outer,12-14
1,1,22,0.5567125172456473,Outer,12-14
1,1,22,0.3816753412702054,Outer,12-14
1,1,22,0.2173227055225006,Outer,12-14
1,1,22,-0.033607126087368,Outer,12-14
1,1,22,-0.0843580234818057,Outer,12-14
1,1,22,0.3805035910391519,Outer,12-14
1,1,22,-0.0212147540181302,Outer,12-14
1,1,22,0.1878665852373076,Outer,12-14
1,1,22,0.0134802319148805,Outer,12-14
1,1,22,0.4063265421704036,Outer,12-14
1,1,22,0.3095094832140832,Outer,12-14
1,1,22,0.1718589475943308,Outer,12-14
1,1,22,-0.1626065483737728,Outer,12-14
1,1,22,-0.0643298085096524,Outer,12-14
1,1,22,0.0501102732685136,Outer,12-14
1,1,22,0.0212179615170842,Outer,12-14
1,1,22,0.0404435878083666,Outer,12-14
1,1,22,0.1216366054902287,Outer,12-14
1,1,22,-0.0195523939475066,Outer,12-14
1,1,22,0.035789810076273,Outer,12-14
1,1,22,-0.0135836761504153,Outer,12-14
1,1,22,0.008367739702416,Outer,12-14
1,1,22,-0.0065213662738199,Outer,12-14
1,1,22,0.392582583001908,Outer,12-14
1,1,22,0.1792489884642591,Outer,12-14
1,1,22,0.3349097539081365,Outer,12-14
1,1,22,0.0011571264265284,Outer,12-14
1,1,22,-0.0266660830527829,Outer,12-14
1,1,22,-0.0079380135796833,Outer,12-14
1,1,22,0.0479962229863333,Outer,12-14
1,1,22,-0.0179683816726865,Outer,12-14
1,1,22,0.0526369958391654,Outer,12-14
1,1,22,0.0672248881059895,Outer,12-14
1,1,22,-0.0466850465226609,Outer,12-14
1,1,22,0.1331284995119803,Outer,12-14
1,1,22,-0.0181518109321308,Outer,12-14
