Set,File,PID,angular_velocity,Band,Radius_range
1,1,145,0.6212418237671864,Outer,12-14
1,1,145,0.0851319305248905,Outer,12-14
1,1,145,0.1209029346905703,Outer,12-14
1,1,145,0.0477321042256582,Outer,12-14
1,1,145,0.0678591810019804,Outer,12-14
1,1,145,-0.0030058760218794,Outer,12-14
1,1,145,0.2149277125757498,Outer,12-14
1,1,145,0.012587461276353,Outer,12-14
1,1,145,0.0809306109471426,Outer,12-14
1,1,145,-0.0468508655817641,Outer,12-14
1,1,145,0.0118757212410125,Outer,12-14
1,1,145,-0.0224191240325701,Outer,12-14
1,1,145,-0.0360478117539875,Outer,12-14
1,1,145,-0.1664163059610577,Outer,12-14
1,1,145,0.1737629323642835,Outer,12-14
1,1,145,0.0960611908849449,Outer,12-14
1,1,145,0.3753611210166139,Outer,12-14
1,1,145,0.323570606796645,Outer,12-14
1,1,145,-0.007547491586521,Outer,12-14
1,1,145,0.0917905132693492,Outer,12-14
1,1,145,-0.0011703464340735,Outer,12-14
1,1,145,0.056928439593022,Outer,12-14
1,1,145,-0.0120583457955918,Outer,12-14
1,1,145,-0.0183825724442439,Outer,12-14
1,1,145,-0.0222186956969681,Outer,12-14
1,1,145,0.0229869971357756,Outer,12-14
1,1,145,-0.0538059180309362,Outer,12-14
1,1,145,-0.0417463955801271,Outer,12-14
1,1,145,-0.2552838691911514,Outer,12-14
1,1,145,-0.0888052462907333,Outer,12-14
1,1,145,0.1754967306086774,Outer,12-14
1,1,145,0.0046650635752745,Outer,12-14
1,1,145,0.1067518008480101,Outer,12-14
1,1,145,0.2526336101496222,Outer,12-14
1,1,145,0.0657706401555624,Outer,12-14
1,1,145,0.1226050773079996,Outer,12-14
1,1,145,0.081190998744741,Outer,12-14
1,1,145,0.0090395719785276,Outer,12-14
1,1,145,0.2017352496649849,Outer,12-14
1,1,145,-0.0019891726378951,Outer,12-14
1,1,145,-0.100101945222355,Outer,12-14
1,1,145,0.0121274626052989,Outer,12-14
1,1,145,0.2061458553674802,Outer,12-14
1,1,145,0.0006392568594182,Outer,12-14
1,1,145,0.2060786526747273,Outer,12-14
1,1,145,-0.035476769032976,Outer,12-14
1,1,145,0.072128766298654,Outer,12-14
