Set,File,PID,angular_velocity,Band,Radius_range
1,1,114,-0.0328994773054036,Outer,12-14
1,1,114,0.0096910464826716,Outer,12-14
1,1,114,0.0066420553057278,Outer,12-14
1,1,114,-0.0035050536835496,Outer,12-14
1,1,114,-0.0496406563898395,Outer,12-14
1,1,114,0.0272936405554791,Outer,12-14
1,1,114,0.0075045711520762,Outer,12-14
1,1,114,0.0490221729086175,Outer,12-14
1,1,114,0.1168780239576778,Outer,12-14
1,1,114,0.1438288211815912,Outer,12-14
1,1,114,0.1742870746299392,Outer,12-14
1,1,114,0.3155007060448391,Outer,12-14
1,1,114,0.0266441499841532,Outer,12-14
1,1,114,0.4372542472017588,Outer,12-14
1,1,114,0.6062743367551544,Outer,12-14
1,1,114,0.1191784026247932,Outer,12-14
1,1,114,0.0980963035133122,Outer,12-14
1,1,114,0.053622215248072,Outer,12-14
1,1,114,0.0777302018218248,Outer,12-14
1,1,114,-0.0292523103497175,Outer,12-14
1,1,114,0.2290806946876955,Outer,12-14
1,1,114,-0.0057075966989255,Outer,12-14
1,1,114,0.0736846076336972,Outer,12-14
1,1,114,-0.0176391451884185,Outer,12-14
1,1,114,0.0244141801473736,Outer,12-14
1,1,114,-0.0437780457927488,Outer,12-14
1,1,114,-0.0402969626335294,Outer,12-14
1,1,114,-0.1706871629647701,Outer,12-14
1,1,114,0.1919538674099854,Outer,12-14
1,1,114,0.1078275471126382,Outer,12-14
1,1,114,0.3384068232559754,Outer,12-14
1,1,114,0.3292617693638036,Outer,12-14
1,1,114,-0.0038683851224727,Outer,12-14
1,1,114,0.1008816395417762,Outer,12-14
1,1,114,-0.0091659692582357,Outer,12-14
1,1,114,0.0517348722838288,Outer,12-14
1,1,114,-0.0200300978864595,Outer,12-14
1,1,114,-0.0059932124315049,Outer,12-14
1,1,114,-0.0221515123458138,Outer,12-14
1,1,114,0.0236504217335915,Outer,12-14
1,1,114,-0.0464422374596749,Outer,12-14
1,1,114,-0.050086702948406,Outer,12-14
1,1,114,-0.2669365801093697,Outer,12-14
1,1,114,-0.0741186518963639,Outer,12-14
1,1,114,0.1672012061291798,Outer,12-14
1,1,114,0.0101347518736796,Outer,12-14
1,1,114,0.1093862387816262,Outer,12-14
1,1,114,0.254884239763629,Outer,12-14
1,1,114,0.0775863111767347,Outer,12-14
1,1,114,0.1066708280058246,Outer,12-14
1,1,114,0.2760657484746414,Outer,12-14
1,1,114,-0.0200427403468945,Outer,12-14
1,1,114,0.1976953896979534,Outer,12-14
1,1,114,0.0015331384216339,Outer,12-14
1,1,114,-0.1130427367821433,Outer,12-14
1,1,114,0.0190623641781857,Outer,12-14
1,1,114,0.2017256809172529,Outer,12-14
1,1,114,0.1341003816286856,Outer,12-14
1,1,114,0.2227834995582882,Outer,12-14
1,1,114,-0.0367994419054182,Outer,12-14
1,1,114,0.0934404309693701,Outer,12-14
1,1,114,-0.0458929819187474,Outer,12-14
1,1,114,0.2673190366475602,Outer,12-14
