x	y	r	theta	part
17.41954674418018	14.631164682881575	1.0	0.0	1.0
9.26697481981977	7.363277062840478	1.0	3.141592653589793	1.0
15.676858623141934	22.728982488314692	1.0	0.0	1.0
20.263865606394187	17.140192165112534	1.0	0.0	-1.0
7.476479246206339	15.22973522378567	1.0	0.0	-1.0
20.05583213566978	25.076221814629964	1.0	0.0	-1.0
3.85333163461744	13.583342211924407	1.0	0.0	-1.0
11.327730066737658	4.387078423433636	1.0	0.0	-1.0
10.4514806886615	27.33289274882846	1.0	0.0	-1.0
15.228129886255484	3.84635101064388	1.0	0.0	-1.0
12.934153141373965	20.035464294866312	1.0	0.0	-1.0
18.89263133596568	13.372871467662893	1.0	0.0	-1.0
28.031987905052585	14.639479803063216	1.0	0.0	-1.0
17.609467184658005	11.850616095939078	1.0	0.0	-1.0
20.078179888868114	27.049456941385543	1.0	0.0	-1.0
19.12132580305506	15.5625812379297	1.0	0.0	-1.0
4.405908779415725	22.57066853440481	1.0	0.0	-1.0
26.018361988964255	22.182949271233653	1.0	0.0	-1.0
16.224337120272576	5.913305650452795	1.0	0.0	-1.0
5.077796404408572	9.830733800516866	1.0	0.0	-1.0
16.562064083068332	20.327111441344204	1.0	0.0	-1.0
18.969141465044814	10.38598472054758	1.0	0.0	-1.0
11.151646542688686	20.93859425391841	1.0	0.0	-1.0
3.4018833640916997	20.882370301570496	1.0	0.0	-1.0
23.825266711137914	11.605238800408113	1.0	0.0	-1.0
27.51368472331515	18.553867587136104	1.0	0.0	-1.0
26.20032921138775	15.61060984084621	1.0	0.0	-1.0
18.186625332366425	25.70537200175543	1.0	0.0	-1.0
22.608756505330614	14.474114977168778	1.0	0.0	-1.0
22.22578901995184	16.393228760293752	1.0	0.0	-1.0
23.801920411742262	17.62648221528762	1.0	0.0	-1.0
8.633505059071467	26.608786746813873	1.0	0.0	-1.0
24.33664642117555	21.192994990117086	1.0	0.0	-1.0
5.628205148455818	24.10646577199281	1.0	0.0	-1.0
10.089120793842532	25.23833288734562	1.0	0.0	-1.0
21.85615876591045	26.19745694864973	1.0	0.0	-1.0
17.495725246984005	22.08405716016864	1.0	0.0	-1.0
14.735448319136779	13.176198126994056	1.0	0.0	-1.0
24.85946685728131	23.74275414053611	1.0	0.0	-1.0
6.961296753993701	10.482903583936121	1.0	0.0	-1.0
18.206882792451776	27.65897964268585	1.0	0.0	-1.0
13.09384969316996	9.435919952333219	1.0	0.0	-1.0
14.529845699840926	17.013729809144564	1.0	0.0	-1.0
18.29577806916162	17.423517141035582	1.0	0.0	-1.0
12.354043563027977	27.800647962196255	1.0	0.0	-1.0
24.205628604816432	15.670604592212271	1.0	0.0	-1.0
17.19498840180674	4.166236267805181	1.0	0.0	-1.0
20.64541186873471	14.297654591185276	1.0	0.0	-1.0
15.733973709439075	1.9135500853136533	1.0	0.0	-1.0
3.842916047835029	15.570325096932905	1.0	0.0	-1.0
22.020908712995546	21.083830560625014	1.0	0.0	-1.0
15.087379960280256	9.482219892102782	1.0	0.0	-1.0
2.124061004858207	17.17336742742621	1.0	0.0	-1.0
7.390853682616823	17.34894696643791	1.0	0.0	-1.0
14.493198884752589	7.57429315781653	1.0	0.0	-1.0
9.299439079316638	5.402644965141485	1.0	0.0	-1.0
10.023871726200767	9.202052697443333	1.0	0.0	-1.0
26.275709102333654	13.65416220059428	1.0	0.0	-1.0
8.14273186493889	12.718656657740542	1.0	0.0	-1.0
7.0466629447951625	25.460545659409757	1.0	0.0	-1.0
6.880819141490503	19.282815544559814	1.0	0.0	-1.0
5.732927695795978	16.230750281689605	1.0	0.0	-1.0
23.27958969553535	19.554083476442006	1.0	0.0	-1.0
13.020229946308177	22.11222342223124	1.0	0.0	-1.0
2.63848474900483	19.070879276820587	1.0	0.0	-1.0
23.53145286835518	25.15552246032732	1.0	0.0	-1.0
27.914542954450162	16.617434652445063	1.0	0.0	-1.0
16.26493096279345	27.94040049507869	1.0	0.0	-1.0
9.1618695876716	11.00137018377178	1.0	0.0	-1.0
18.374353460092596	8.479811918389656	1.0	0.0	-1.0
14.304211256806504	28.00418062836335	1.0	0.0	-1.0
26.90158858485658	20.432470971961287	1.0	0.0	-1.0
14.682128579150957	21.002390729999945	1.0	0.0	-1.0
20.917535062875462	5.546211585393906	1.0	0.0	-1.0
12.440530121322432	18.09487164787725	1.0	0.0	-1.0
25.79907389436863	17.532640128365518	1.0	0.0	-1.0
4.116993752673671	7.837413060678642	1.0	0.0	-1.0
8.818809935621614	19.792172023583472	1.0	0.0	-1.0
7.434393231044049	6.709684234433937	1.0	0.0	-1.0
27.522971846330314	10.764109921600353	1.0	0.0	-1.0
1.8821188091372598	13.259763952787724	1.0	0.0	-1.0
13.233594274785784	3.788836867113248	1.0	0.0	-1.0
24.993674034938824	9.89410596881784	1.0	0.0	-1.0
15.981895760354362	25.960609872703113	1.0	0.0	-1.0
22.09091759957656	12.562899178513717	1.0	0.0	-1.0
25.23094998452609	19.413712492402414	1.0	0.0	-1.0
14.252263428590306	5.590353980272839	1.0	0.0	-1.0
21.820340819728116	18.304031945641587	1.0	0.0	-1.0
5.349077294223956	6.281397245779364	1.0	0.0	-1.0
4.760654013967115	19.418146438670497	1.0	0.0	-1.0
13.665833980137133	11.40012574613893	1.0	0.0	-1.0
20.213653547788226	11.945547739194426	1.0	0.0	-1.0
11.878909505179548	2.1581409253837007	1.0	0.0	-1.0
20.714980623390176	22.573878113611215	1.0	0.0	-1.0
19.963463391007476	7.287845946734067	1.0	0.0	-1.0
10.343824313963221	16.482553084701614	1.0	0.0	-1.0
19.517586634485845	2.7925209931169475	1.0	0.0	-1.0
13.792923487176258	1.869057103288859	1.0	0.0	-1.0
17.024193549747253	9.943752460040871	1.0	0.0	-1.0
18.444309655894717	19.420800213641254	1.0	0.0	-1.0
23.879173696753266	8.119500099690896	1.0	0.0	-1.0
21.663486605036486	8.313647725886065	1.0	0.0	-1.0
16.411678509086574	16.34758454615315	1.0	0.0	-1.0
2.3449747488460266	11.35589206757387	1.0	0.0	-1.0
11.999455943965133	12.504063722934884	1.0	0.0	-1.0
10.099224286008276	13.122769289004875	1.0	0.0	-1.0
20.94697537194076	10.134710246437878	1.0	0.0	-1.0
8.475890888150623	24.062164282758538	1.0	0.0	-1.0
10.061067340108458	2.840214244145029	1.0	0.0	-1.0
20.516120261862813	19.763848936734654	1.0	0.0	-1.0
3.1109926226003877	9.54047357823344	1.0	0.0	-1.0
4.088362892588269	17.544438575223662	1.0	0.0	-1.0
7.032853751490055	22.6838821207839	1.0	0.0	-1.0
8.322417359281197	3.708774932856314	1.0	0.0	-1.0
19.099231229007557	4.744361007785244	1.0	0.0	-1.0
5.744133860590449	14.234117032320464	1.0	0.0	-1.0
26.77901331660445	8.992508624658036	1.0	0.0	-1.0
14.646946156589896	19.0071633931471	1.0	0.0	-1.0
1.873514735306908	15.224148056130522	1.0	0.0	-1.0
24.320568013141123	13.523183016192547	1.0	0.0	-1.0
17.65453251889602	2.2227113802407206	1.0	0.0	-1.0
10.639877375477328	18.965302396920766	1.0	0.0	-1.0
22.942091029689472	4.65255360094074	1.0	0.0	-1.0
