x	y	r	theta	part
13.447349626735313	9.35387369443268	1.0	0.0	1.0
7.451951826223739	6.289281810237752	1.0	4.71238898038469	1.0
4.0589961634199865	18.64697069651592	1.0	3.141592653589793	1.0
23.563985064683965	22.095543765692305	1.0	0.0	-1.0
10.18347237982666	11.952454647281666	1.0	0.0	-1.0
24.695290598172857	20.46425593813613	1.0	0.0	-1.0
20.87948680228134	22.109771380756765	1.0	0.0	-1.0
14.668909025448206	3.983622241158455	1.0	0.0	-1.0
12.880347191878007	26.109335241525716	1.0	0.0	-1.0
15.630605388044906	5.766076660709976	1.0	0.0	-1.0
23.387102711656453	18.96895700996339	1.0	0.0	-1.0
26.20183116500243	16.785521618640015	1.0	0.0	-1.0
11.019169550585529	25.395076365493825	1.0	0.0	-1.0
13.249416757500484	22.13744545158337	1.0	0.0	-1.0
16.84308384655125	26.02761082589578	1.0	0.0	-1.0
11.472841401823983	23.4517780091061	1.0	0.0	-1.0
20.387796338081667	19.831786002966748	1.0	0.0	-1.0
20.51220044869462	2.946276708902346	1.0	0.0	-1.0
18.511543315271016	14.296921364242756	1.0	0.0	-1.0
13.826291298655828	12.71943062990821	1.0	0.0	-1.0
14.753901702822617	1.9880682384595778	1.0	0.0	-1.0
12.566795636249308	19.8681800535357	1.0	0.0	-1.0
11.389727404539425	18.25119947170469	1.0	0.0	-1.0
19.04001051105434	21.29291171796714	1.0	0.0	-1.0
11.756763245055044	6.422578078785212	1.0	0.0	-1.0
15.719907437228244	12.101989381062115	1.0	0.0	-1.0
14.467445113026281	20.480148890098647	1.0	0.0	-1.0
20.503394102321405	14.167404206591433	1.0	0.0	-1.0
16.62894267727455	4.038396668300425	1.0	0.0	-1.0
14.865550100135815	26.290232855107295	1.0	0.0	-1.0
18.219584345299932	7.996968124997592	1.0	0.0	-1.0
19.57818956234827	17.94542268491912	1.0	0.0	-1.0
19.733673711489995	6.741673671176147	1.0	0.0	-1.0
17.211410501085012	22.08662037820496	1.0	0.0	-1.0
15.33414593189154	24.349099708033865	1.0	0.0	-1.0
25.001933516117866	6.60718449234629	1.0	0.0	-1.0
25.56838336966106	18.675763376211087	1.0	0.0	-1.0
28.006828300812167	13.724739375664115	1.0	0.0	-1.0
16.712389327636263	2.050199259629218	1.0	0.0	-1.0
21.3165969768326	7.943634899980124	1.0	0.0	-1.0
26.116122096529704	8.21028940497634	1.0	0.0	-1.0
7.66975872322812	23.234972885129675	1.0	0.0	-1.0
9.17249235926972	9.069982687910043	1.0	0.0	-1.0
16.979101537957746	9.524078444656304	1.0	0.0	-1.0
27.39268373033609	19.469368168543433	1.0	0.0	-1.0
10.880141911340655	4.626950237261768	1.0	0.0	-1.0
8.22571946518445	16.085002040160997	1.0	0.0	-1.0
16.27690013990713	7.654418467016607	1.0	0.0	-1.0
18.482863471361316	16.286189967959842	1.0	0.0	-1.0
19.65099571712941	12.376235094284674	1.0	0.0	-1.0
12.581839224478914	11.156729781868611	1.0	0.0	-1.0
22.24596579248356	23.58043268221239	1.0	0.0	-1.0
14.66821823119468	16.53537761402017	1.0	0.0	-1.0
